Tunnit yhteensä: 106,5

Päiväys		Käytetyt tunnit		Mitä tehty
2.7.2020	5			Käyttöliittymän ja ulkoasun suunnittelua
3.7.2020	8			Käyttöliittymän ja ulkoasun suunnittelu jatkuu, mobiilin ulkoasu valmis
6.7.2020	2			Selain-version ulkoasun suunnittelu, valmis
7.7.2020	7,5			Frontin koodausta, lähinnä ulkoasua
8.7.2020	8,5			React routingia ja menun animoinnin kanssa tappelua
11.7.2020	4,5			Front: hakutulossivua, hae kirjat palvelimelta, refraktointia; Backin aloitus, testidata palvelimelle
16.7.2020	8,5			Front: Rakennettu loput komponentit; omat tiedot, salasanan päivitys, roolin muutos.
20.7.2020	7			Front: login ja rekisteröityminen
21.7.2020	8			Front & back: Login toimii ja tallentaa tokenin localStorageen ja reduxiin
22.7.2020	5			Loginin ja token-kirjautumisen hiomista. Tiedotteet backin kautta reduxiin, ja uloskirjautuminen meinasi unohtua. Ihmettelyä, miksi jQuery lakkasi toimimasta.
23.7.2020	9,5			Debuggausta, refaktorointia. Käyttäjätietojen käsittelyä frontissa ja backissa
24.7.2020	7			Refaktorointia ja toiminnallisuuksien lisäämistä.
26.7.2020	4,5			Uuden kirjan lisäämisen rakentamista fronttiin ja backiin
28.7.2020	3,5			Lisätty: uuden kirjan lisääminen pushaa sivun routen :id'een. Tallentaa kirjan reduxiin.
29.7.2020	9			Lainaamisen, varaamisen ja palauttamisen logiikoiden lisääminen fronttiin ja backiin
30.7.2020	9			Refaktoroinnista aiheutunutta pitkä debuggaus. Lainaamisen/varaamisen/palauttamisen jatkoa ja myös tuskaista debuggausta
